"exp_index","subject","condition","scenario","box_weight","contestant","strength","effort","resp","s1","s2","e1","e2"
"1a",8,"fail",7,7,2,6,60,5,4,6,60,60
"1a",8,"fail",8,6,1,2,50,3,2,8,50,50
"1a",8,"fail",8,6,2,8,50,8,2,8,50,50
"1a",8,"fail",9,9,1,5,70,5,5,7,70,70
"1a",8,"fail",9,9,2,7,70,5,5,7,70,70
"1a",8,"fail",10,8,1,6,30,5,6,8,30,30
"1a",8,"fail",10,8,2,8,30,5,6,8,30,30
"1a",8,"fail",11,3,1,2,60,4,2,6,60,20
"1a",8,"fail",11,3,2,6,20,7,2,6,60,20
"1a",8,"fail",12,5,1,3,80,3,3,6,80,40
"1a",8,"fail",12,5,2,6,40,7,3,6,80,40
"1a",8,"fail",13,5,1,4,30,6,4,6,30,20
"1a",8,"fail",13,5,2,6,20,7,4,6,30,20
"1a",8,"fail",14,9,1,5,80,4,5,8,80,50
"1a",8,"fail",14,9,2,8,50,7,5,8,80,50
"1a",8,"fail",15,8,1,6,40,6,6,8,40,30
"1a",8,"fail",15,8,2,8,30,8,6,8,40,30
"1a",8,"lift",16,4,1,5,20,4,5,5,20,60
"1a",8,"lift",16,4,2,5,60,7,5,5,20,60
"1a",8,"lift",17,5,1,6,30,5,6,6,30,80
"1a",8,"lift",17,5,2,6,80,7,6,6,30,80
"1a",8,"lift",18,3,1,4,30,4,4,4,30,60
"1a",8,"lift",18,3,2,4,60,6,4,4,30,60
"1a",8,"lift",19,4,1,5,20,2,5,5,20,70
"1a",8,"lift",19,4,2,5,70,7,5,5,20,70
